"Title:","ACT Composite 75th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Center for Education Statistics (2022-09-30). Test Scores - Postsecondary Education: ACT Composite 75th Percentile Score, 2006 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-022-008 doi:https://doi.org/10.6068/DP1846849F42F39"
"ColumnCount:",18
"RowCount:",2458

"Institutions by State","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2009","2008","2007","2006"
"California Institute of Technology - California",36,36,36,35,36,35,35,35,35,35,35,35,35,
"Webb Institute - New York",36,34,34,34,35,33,33,,,,,,,
"Rice University - Texas",36,35,35,35,35,35,34,34,34,34,34,34,34,33
"Massachusetts Institute of Technology - Massachusetts",36,36,36,35,35,35,35,35,35,35,35,34,34,34
"Johns Hopkins University - Maryland",36,35,35,35,34,34,34,34,33,33,33,33,33,32
"Harvard University - Massachusetts",35,35,35,35,35,35,35,35,35,35,34,35,35,34
"Carnegie Mellon University - Pennsylvania",35,35,35,35,34,34,34,34,33,33,33,33,32,32
"Haverford College - Pennsylvania",35,34,34,34,34,34,34,33,33,33,,,,
"Harvey Mudd College - California",35,35,35,35,35,35,35,35,35,35,35,,,
"Brown University - Rhode Island",35,35,35,35,34,34,34,34,34,33,34,33,33,33
"University of Notre Dame - Indiana",35,35,35,34,35,34,34,34,34,34,34,34,34,33
"University of Pennsylvania - Pennsylvania",35,35,35,35,35,34,34,34,34,34,34,33,33,33
"University of Chicago - Illinois",35,35,35,35,35,35,35,35,34,34,33,33,33,33
"Amherst College - Massachusetts",35,34,34,34,34,34,34,34,34,34,34,33,34,33
"Princeton University - New Jersey",35,35,35,35,35,35,35,35,35,34,35,34,34,34
"Northwestern University - Illinois",35,35,35,34,34,34,34,34,34,33,33,34,33,33
"Cornell University - New York",35,35,34,34,34,34,34,34,33,33,33,33,32,32
"Stanford University - California",35,35,35,35,35,35,34,34,34,34,34,34,33,33
